porosity,k_pnm,q_pnm,k_edm,q_edm,radius_pore_avg,radius_pore_std,radius_throat_avg,radius_throat_std,length_throat_avg,length_throat_std,connection_n_avg,connection_n_std
0.2774044675838977,3.414916453253718e-11,2.764976075136689e-05,2.507705129831559e-11,2.03042879156688e-05,0.00019654503536194748,6.341748063796184e-05,0.000124632556973979,5.502795896529353e-05,0.0005191845229591987,0.0003127424873228388,3.8386243386243386,2.1462136492415427
0.2771217830278876,2.55383920999928e-11,3.168261595202907e-05,2.5934954711939465e-11,3.217458666365595e-05,0.00022780438013612504,6.496387488605616e-05,0.00011154919777416299,4.0776458189457455e-05,0.0015626157520020091,0.0009699756866627197,4.7599469496021225,3.829168798079853
0.21505621116545107,3.08270073786903e-11,4.2342889928336056e-05,1.806049701322979e-11,2.480726162251049e-05,0.00033937605546402244,0.0001080790155439968,0.00021197446697236456,9.704005604453676e-05,0.0008594937836103896,0.0004621059975014295,3.147368421052632,1.574813301455562
0.2276475182192832,4.64843673059854e-12,3.257724028852604e-06,2.9613065840158515e-12,2.075347084331657e-06,0.00015405969343681555,4.5781221791458294e-05,9.156735069854952e-05,3.960117637688551e-05,0.0004815304815879634,0.0002716456186446189,3.3421400264200787,1.8519815989928703
0.17218821361034425,2.472160969784268e-15,1.1070862245024007e-10,1.5501846713651171e-15,6.942056427874376e-11,7.739738773741331e-06,2.0551419530341118e-06,3.648063148202662e-06,1.3916863665015257e-06,4.267876753775757e-05,2.5663400445004496e-05,2.9814020028612305,1.925938533833496
0.20778227489079149,4.2435280799841343e-11,2.5346728318098913e-05,3.1990744395070457e-11,1.91081734724524e-05,0.00022542693412609126,7.514383186644302e-05,0.00017132664145042567,7.33306355770728e-05,0.0004562513837242041,0.0002611711118196238,3.475862068965517,1.4952004069144371
0.2438935001181119,1.5353106014724199e-12,3.3232522071009364e-07,1.0740820304633702e-12,2.3249012121206103e-07,5.302363815095076e-05,1.6579543561852353e-05,3.3812888211808235e-05,1.5085480011942966e-05,0.00013080350941533655,7.422758969201034e-05,3.5065502183406116,1.7648189469745583
0.2270491962894019,3.4921685196617903e-12,2.743266562863136e-06,3.2163524135161065e-12,2.526599727563377e-06,0.00013794188502896492,3.740957506515576e-05,6.392370901002863e-05,2.3175047323368044e-05,0.000994485466927539,0.0006444168653564664,4.0971830985915485,3.1224526217263264
0.16675433469058426,8.61629167335571e-13,8.031611928621995e-07,5.181248276831432e-13,4.829661882737143e-07,0.00017768415282117946,5.029843392141015e-05,9.273236946118904e-05,3.960855612101453e-05,0.0007425070261110928,0.0004521498005159783,2.8330658105939004,1.693457737302149
0.2913601312475833,2.613355705248131e-10,0.0003923645067666389,1.9341020766815688e-10,0.0002903825934715011,0.0004373615731684716,0.00015110441962976276,0.0003126965662095206,0.00013553471781448917,0.0009759615794225633,0.00060226145503292,3.9161676646706582,2.0121780147656225
0.2872920015649316,1.3016545065978482e-12,1.7372516049437695e-07,6.837380574309461e-13,9.125501672004199e-08,3.3818627350671216e-05,1.0259719278938302e-05,2.1761474473311136e-05,9.585203529071908e-06,8.56982671571456e-05,4.7633127550469315e-05,3.998635743519782,1.972179850801284
